trigger,step,loss,clean_loss,backdoor_loss
AT5,0001200,0.0842,0.0873,0.0571
AT5,0001300,0.0843,0.0877,0.0534
AT5,0001400,0.0839,0.0876,0.0494
AT5,0001500,0.0839,0.0879,0.0474
AT5,0001600,0.0830,0.0873,0.0439
AT5,0001700,0.0826,0.0873,0.0412
AT5,0001800,0.0831,0.0881,0.0383
AT5,0001900,0.0826,0.0879,0.0358
AT5,0002000,0.0820,0.0874,0.0345
AT5,0002100,0.0824,0.0880,0.0313
AT5,0002200,0.0820,0.0877,0.0309
AT5,0002300,0.0816,0.0875,0.0277
AT5,0002400,0.0816,0.0878,0.0254
AT5,0002500,0.0815,0.0881,0.0241
AT5,0002600,0.0812,0.0876,0.0250
AT5,0002700,0.0811,0.0876,0.0219
AT5,0002800,0.0806,0.0873,0.0204
AT5,0002900,0.0809,0.0877,0.0200
AT5,0003000,0.0809,0.0879,0.0195
AT5,0003100,0.0804,0.0872,0.0187
AT5,0003200,0.0812,0.0882,0.0186
